icd10_concept_id,code_heading,icd10_code,icd10_vocab,description,body_system,progressive,snomed_concept_id,snomed_code,snomed_name
45542706,D560,D56.0,ICD10,Alpha thalassemia,hematological,yes,4287844,68913001,alpha Thalassemia
45537714,A181,A18.10,ICD10CM,"Tuberculosis of genitourinary system, unspecified",genitourinary,no,73686,4445009,Tuberculosis of genitourinary system
45561936,D838,D83.8,ICD10,Other common variable immunodeficiencies,immunological,no,435228,23238000,Common variable agammaglobulinemia
45600400,A181,A18.11,ICD10CM,Tuberculosis of kidney and ureter,genitourinary,no,72817,111830007,Tuberculosis of urinary organs
45552157,A181,A18.12,ICD10CM,Tuberculosis of bladder,genitourinary,no,198674,32268008,Tuberculosis of bladder
45552158,A181,A18.13,ICD10CM,Tuberculosis of other urinary organs,genitourinary,no,72817,111830007,Tuberculosis of urinary organs
45552159,A181,A18.14,ICD10CM,Tuberculosis of prostate,genitourinary,no,4068849,20372007,Tuberculosis of prostate
45605195,A181,A18.15,ICD10CM,Tuberculosis of other male genital organs,genitourinary,no,192818,240379005,Tuberculosis of male genital organs
45581102,A181,A18.16,ICD10CM,Tuberculosis of cervix,genitourinary,no,4266861,62819009,Tuberculous cervicitis
45600651,E232,E23.2,ICD10,Diabetes insipidus,endocrinological,no,30968,15771004,Diabetes insipidus
45576470,E7421,E74.21,ICD10CM,Galactosemia,metabolic,yes,439788,190745006,Galactosemia
45586251,F63,F63.2,ICD10,Kleptomania,mental health,no,434632,69361009,Kleptomania
45600757,F63,F63.0,ICD10,Pathological gambling,mental health,no,436959,18085000,Compulsive gambling
45571781,F918,F91.8,ICD10,Other conduct disorders,mental health,no,443617,430909002,Conduct disorder
35207325,G12,G12.9,ICD10CM,"Spinal muscular atrophy, unspecified",neurological,yes,372605,5262007,Spinal muscular atrophy
45576601,G587,G58.7,ICD10,Mononeuritis multiplex,neurological,no,376395,30292005,Mononeuritis multiplex
45538251,H3110,H31.103,ICD10CM,"Choroidal degeneration, unspecified, bilateral",ophthalmological,no,439815,406446000,Choroidal degeneration
45567146,H83,H83.11,ICD10CM,"Labyrinthine fistula, right ear",otologic,no,72926,89097000,Labyrinthine fistula
45571417,A181,A18.17,ICD10CM,Tuberculous female pelvic inflammatory disease,genitourinary,no,4056331,198241002,Female tuberculous pelvic inflammatory disease
45586502,H505,H50.51,ICD10CM,Esophoria,ophthalmological,no,373212,62176008,Esophoria
45576847,H83,H83.01,ICD10CM,"Labyrinthitis, right ear",otologic,no,74052,23919004,Labyrinthitis
45600401,A181,A18.18,ICD10CM,Tuberculosis of other female genital organs,genitourinary,no,197204,74181004,Tuberculosis of female genital organs
35207707,I127,I27.0,ICD10CM,Primary pulmonary hypertension,cardiac,yes,4013643,11399002,Pulmonary arterial hypertension
45590799,A182,A18.2,ICD10,Tuberculous peripheral lymphadenopathy,immunological,no,432236,77038006,Tuberculosis of peripheral lymph nodes
45576879,I50,I50.9,ICD10,"Heart failure, unspecified",cardiac,yes,316139,84114007,Heart failure
35205461,A182,A18.2,ICD10CM,Tuberculous peripheral lymphadenopathy,immunological,no,432236,77038006,Tuberculosis of peripheral lymph nodes
35208107,J986,J98.6,ICD10CM,Disorders of diaphragm,pulmonary/respiratory,no,196724,48475001,Disorder of diaphragm
45552160,A183,A18.31,ICD10CM,Tuberculous peritonitis,gastrointestinal,no,194268,44572005,Tuberculous peritonitis
45595578,A183,A18.32,ICD10CM,Tuberculous enteritis,gastrointestinal,no,4006347,12137005,Tuberculous enteritis
45571418,A183,A18.39,ICD10CM,Retroperitoneal tuberculosis,gastrointestinal,no,4040447,16409009,Tuberculosis of retroperitoneal lymph nodes
42616624,M063,M06.39,ICD10,"Rheumatoid nodule, multiple sites",immunological,no,4142899,33719002,Subcutaneous rheumatoid nodule
45596450,M08,M08.3,ICD10,Juvenile rheumatoid polyarthritis (seronegative),immunological,no,4132810,410797009,Juvenile seronegative polyarthritis
45562606,M08,M08.871,ICD10CM,Other juvenile arthritis of right ankle and foot,immunological,no,4253901,410795001,Juvenile rheumatoid arthritis
42616827,M100,M10.00,ICD10,"Idiopathic gout, unspecified site",metabolic,no,4084229,24595009,Primary gout
45547395,A184,A18.4,ICD10,Tuberculosis of skin and subcutaneous tissue,dermatological,no,4153291,271423008,Tuberculosis of skin and subcutaneous tissue
45557865,M33,M33.22,ICD10CM,Polymyositis with myopathy,immunological,no,137275,129565002,Disorder of muscle
45543518,M2133,M21.331,ICD10CM,"Wrist drop, right wrist",musculoskeletal,no,440193,59349003,Wristdrop
45533780,M2137,M21.379,ICD10CM,"Foot drop, unspecified Foot",musculoskeletal,no,4264617,6077001,Foot-drop
42617142,M242,M24.20,ICD10,"Disorder of ligament, unspecified site",musculoskeletal,no,442628,60492000,Disorder of ligament
45567789,M897,M89.70,ICD10CM,"Major osseous defect, unspecified site",musculoskeletal,no,75909,76069003,Disorder of bone
35209401,N810,N81.0,ICD10CM,Urethrocele,genitourinary,no,441906,12068006,Prolapse of urethra
35210699,Q030,Q03.0,ICD10CM,Malformations of aqueduct of Sylvius,neurological,no,4103313,25397008,Aqueduct of Sylvius anomaly
45553674,Q330,Q33.0,ICD10,Congenital cystic lung,pulmonary/respiratory,yes,261393,87119009,Congenital cystic lung
45595579,A185,A18.50,ICD10CM,"Tuberculosis of eye, unspecified",ophthalmological,no,374270,49107007,Tuberculosis of eye
35205462,A184,A18.4,ICD10CM,Tuberculosis of skin and subcutaneous tissue,dermatological,no,4153291,271423008,Tuberculosis of skin and subcutaneous tissue
45561686,A185,A18.51,ICD10CM,Tuberculous episcleritis,ophthalmological,no,4224176,84288007,Tuberculous episcleritis
45561687,A185,A18.52,ICD10CM,Tuberculous keratitis,ophthalmological,no,4109134,193787009,Keratitis due to tuberculosis
45557143,E85,E85.4,ICD10,Organ-limited amyloidosis,metabolic,yes,4210746,56871000,Localized amyloidosis
45581103,A185,A18.53,ICD10CM,Tuberculous chorioretinitis,ophthalmological,no,4087293,186263000,Tuberculous chorioretinitis
35207089,E85,E85.4,ICD10CM,Organ-limited amyloidosis,metabolic,yes,4210746,56871000,Localized amyloidosis
45585903,A185,A18.54,ICD10CM,Tuberculous iridocyclitis,ophthalmological,no,46269950,1092761000119105,Iridocyclitis due to tuberculosis
45547396,A185,A18.59,ICD10CM,Other tuberculosis of eye,ophthalmological,no,374270,49107007,Tuberculosis of eye
45556833,Z435,Z43.5,ICD10,Encounter for attention to cystostomy,genitourinary,no,4195864,6769007,Attention
45552161,A186,A18.6,ICD10,Tuberculosis of (inner) (middle) ear,otologic,no,378953,186269001,Tuberculosis of ear
35205463,A186,A18.6,ICD10CM,Tuberculosis of (inner) (middle) ear,otologic,no,378953,186269001,Tuberculosis of ear
45552162,A187,A18.7,ICD10,Tuberculosis of adrenal glands,endocrinological,no,201779,185113005,Tuberculosis of adrenal glands
35205464,A187,A18.7,ICD10CM,Tuberculosis of adrenal glands,endocrinological,no,201779,185113005,Tuberculosis of adrenal glands
45561688,A1881,A18.81,ICD10CM,Tuberculosis of thyroid gland,endocrinological,no,141777,26935004,Tuberculosis of thyroid gland
45532819,A1882,A18.82,ICD10CM,Tuberculosis of the endocrine glands,endocrinological,no,434557,56717001,Tuberculosis
45581104,A1884,A18.84,ICD10CM,Tuberculosis of heart,cardiac,no,4200662,302131003,Tuberculosis of heart
45561689,A1885,A18.85,ICD10CM,Tuberculosis of spleen,immunological,no,195176,28399005,Tuberculosis of spleen
45542518,A1889,A18.89,ICD10CM,Tuberculosis of other sites,pulmonary/respiratory,no,434557,56717001,Tuberculosis
45542519,A19,A19.0,ICD10,Acute miliary tuberculosis of a single specified site,pulmonary/respiratory,no,435734,186276006,Acute miliary tuberculosis
35205465,A19,A19.0,ICD10CM,Acute miliary tuberculosis of a single specified site,pulmonary/respiratory,no,435734,186276006,Acute miliary tuberculosis
45552164,A19,A19.1,ICD10,Acute miliary tuberculosis of multiple sites,pulmonary/respiratory,no,4087419,186278007,Acute miliary tuberculosis of multiple sites
35205466,A19,A19.1,ICD10CM,Acute miliary tuberculosis of multiple sites,pulmonary/respiratory,no,4087419,186278007,Acute miliary tuberculosis of multiple sites
45542520,A19,A19.2,ICD10,"Acute miliary tuberculosis, unspecified",pulmonary/respiratory,no,435734,186276006,Acute miliary tuberculosis
35205467,A19,A19.2,ICD10CM,"Acute miliary tuberculosis, unspecified",pulmonary/respiratory,no,435734,186276006,Acute miliary tuberculosis
45585904,A19,A19.8,ICD10,Other miliary tuberculosis,pulmonary/respiratory,no,434559,47604008,Miliary tuberculosis
35205468,A19,A19.8,ICD10CM,Other miliary tuberculosis,pulmonary/respiratory,no,434559,47604008,Miliary tuberculosis
45590801,A19,A19.9,ICD10,"Miliary tuberculosis, unspecified",pulmonary/respiratory,no,434559,47604008,Miliary tuberculosis
35205469,A19,A19.9,ICD10CM,"Miliary tuberculosis, unspecified",pulmonary/respiratory,no,434559,47604008,Miliary tuberculosis
35205514,A30,A30.0,ICD10CM,Indeterminate leprosy,neurological,no,132238,14386001,Indeterminate leprosy
45600405,A30,A30.1,ICD10,Tuberculoid leprosy,neurological,no,136898,70143003,Tuberculoid leprosy
35205515,A30,A30.1,ICD10CM,Tuberculoid leprosy,neurological,no,136898,70143003,Tuberculoid leprosy
45561696,A30,A30.2,ICD10,Borderline tuberculoid leprosy,neurological,no,4347522,240402003,Borderline tuberculoid leprosy
35205516,A30,A30.2,ICD10CM,Borderline tuberculoid leprosy,neurological,no,4347522,240402003,Borderline tuberculoid leprosy
45595581,A30,A30.3,ICD10,Borderline leprosy,neurological,no,436902,400008009,Borderline leprosy
35205517,A30,A30.3,ICD10CM,Borderline leprosy,neurological,no,436902,400008009,Borderline leprosy
45566497,A30,A30.4,ICD10,Borderline lepromatous leprosy,neurological,no,4345219,240403008,Borderline lepromatous leprosy
35205518,A30,A30.4,ICD10CM,Borderline lepromatous leprosy,neurological,no,4345219,240403008,Borderline lepromatous leprosy
45585907,A30,A30.5,ICD10,Lepromatous leprosy,neurological,no,137207,21560005,Lepromatous leprosy
35205519,A30,A30.5,ICD10CM,Lepromatous leprosy,neurological,no,137207,21560005,Lepromatous leprosy
45600406,A30,A30.8,ICD10,Other forms of leprosy,neurological,no,432821,81004002,Leprosy
35205520,A30,A30.8,ICD10CM,Other forms of leprosy,neurological,no,432821,81004002,Leprosy
45537718,A30,A30.9,ICD10,"Leprosy, unspecified",neurological,no,432821,81004002,Leprosy
35205521,A30,A30.9,ICD10CM,"Leprosy, unspecified",neurological,no,432821,81004002,Leprosy
45571430,A50,A50.01,ICD10CM,Early congenital syphilitic oculopathy,neurological,yes,434570,266125005,Early congenital syphilis with symptoms
45571430,A50,A50.01,ICD10CM,Early congenital syphilitic oculopathy,neurological,yes,4132494,410478005,Ocular syphilis
45600414,A50,A50.02,ICD10CM,Early congenital syphilitic osteochrondropathy,neurological,yes,4241576,58392004,Congenital syphilitic osteochondritis
45537728,A50,A50.03,ICD10CM,Early congenital syphilitic pharyngitis,neurological,yes,434570,266125005,Early congenital syphilis with symptoms
45571431,A50,A50.04,ICD10CM,Early congenital syphilitic pneumonia,neurological,yes,434570,266125005,Early congenital syphilis with symptoms
45542531,A50,A50.05,ICD10CM,Early congenital syphilitic rhinitis,neurological,yes,4080886,276700005,Congenital syphilitic rhinitis
45561709,A50,A50.06,ICD10CM,Early cutaneous congenital syphilis,neurological,yes,434570,266125005,Early congenital syphilis with symptoms
45561709,A50,A50.06,ICD10CM,Early cutaneous congenital syphilis,neurological,yes,4160083,371237000,Syphilitic skin disorder
45600415,A50,A50.07,ICD10CM,Early mucocutaneous congenital syphilis,neurological,yes,434570,266125005,Early congenital syphilis with symptoms
45581114,A50,A50.08,ICD10CM,Early visceral congenital syphilis,neurological,yes,201506,58227000,Secondary syphilis of viscera
45571432,A50,A50.09,ICD10CM,"Other early congenital syphilis, symptomatic",neurological,yes,434570,266125005,Early congenital syphilis with symptoms
45547411,A50,A50.1,ICD10,"Early congenital syphilis, latent",neurological,yes,4089980,186833000,Early congenital syphilis - latent
35205580,A50,A50.1,ICD10CM,"Early congenital syphilis, latent",neurological,yes,4089980,186833000,Early congenital syphilis - latent
45590817,A50,A50.2,ICD10,"Early congenital syphilis, unspecified",neurological,yes,436632,4359001,Early congenital syphilis
35205581,A50,A50.2,ICD10CM,"Early congenital syphilis, unspecified",neurological,yes,436632,4359001,Early congenital syphilis
45585916,A50,A50.30,ICD10CM,"Late congenital syphilitic oculopathy, unspecified",neurological,yes,4087751,186842007,Late congenital syphilitic oculopathy
45585917,A50,A50.31,ICD10CM,Late congenital syphilitic interstitial keratitis,neurological,yes,438348,44568006,Syphilitic interstitial keratitis
45552183,A50,A50.32,ICD10CM,Late congenital syphilitic chorioretinitis,neurological,yes,4322865,9941009,Congenital syphilitic choroiditis
45552184,A50,A50.39,ICD10CM,Other late congenital syphilitic oculopathy,neurological,yes,4087751,186842007,Late congenital syphilitic oculopathy
45576240,A50,A50.40,ICD10CM,"Late congenital neurosyphilis, unspecified",neurological,yes,372243,266126006,Late congenital neurosyphilis
45566507,A50,A50.41,ICD10CM,Late congenital syphilitic meningitis,neurological,yes,4047472,230152000,Late congenital syphilitic meningitis
45566508,A50,A50.42,ICD10CM,Late congenital syphilitic encephalitis,neurological,yes,4045978,230182006,Late syphilitic encephalitis
45566509,A50,A50.43,ICD10CM,Late congenital syphilitic polyneuropathy,neurological,yes,4046242,230563005,Late congenital syphilitic polyneuropathy
45605206,A50,A50.44,ICD10CM,Late congenital syphilitic optic nerve atrophy,neurological,yes,378686,22386003,Syphilitic optic atrophy
45561711,A50,A50.45,ICD10CM,Juvenile general paresis,neurological,yes,4307791,82959004,Dementia paralytica juvenilis
45537729,A50,A50.49,ICD10CM,Other late congenital neurosyphilis,neurological,yes,372243,266126006,Late congenital neurosyphilis
45561712,A50,A50.51,ICD10CM,Clutton's joints,neurological,yes,4000061,19290004,Clutton's joints
45561713,A50,A50.52,ICD10CM,Hutchinson's teeth,neurological,yes,4313730,86443005,Hutchinson's teeth
45581117,A50,A50.53,ICD10CM,Hutchinson's triad,neurological,yes,4084820,240554006,Hutchinson's triad
45566510,A50,A50.54,ICD10CM,Late congenital cardiovascular syphilis,neurological,yes,137212,83883001,Cardiovascular syphilis
45556904,A50,A50.55,ICD10CM,Late congenital syphilitic arthropathy,neurological,yes,437794,82323002,Late congenital syphilis
45561714,A50,A50.56,ICD10CM,Late congenital syphilitic osteochrondropathy,neurological,yes,4241576,58392004,Congenital syphilitic osteochondritis
45600416,A50,A50.57,ICD10CM,Syphilitic saddle nose,neurological,yes,4299115,77782006,Syphilitic saddle nose
45547412,A50,A50.59,ICD10CM,"Other late congenital syphilis, symptomatic",neurological,yes,437794,82323002,Late congenital syphilis
45581118,A50,A50.6,ICD10,"Late congenital syphilis, latent",neurological,yes,436624,827006,"Late congenital syphilis, latent"
35205582,A50,A50.6,ICD10CM,"Late congenital syphilis, latent",neurological,yes,436624,827006,"Late congenital syphilis, latent"
45532840,A50,A50.7,ICD10,"Late congenital syphilis, unspecified",neurological,yes,437794,82323002,Late congenital syphilis
35205583,A50,A50.7,ICD10CM,"Late congenital syphilis, unspecified",neurological,yes,437794,82323002,Late congenital syphilis
45585918,A50,A50.9,ICD10,"Congenital syphilis, unspecified",neurological,yes,434279,35742006,Congenital syphilis
35205584,A50,A50.9,ICD10CM,"Congenital syphilis, unspecified",neurological,yes,434279,35742006,Congenital syphilis
45581120,A521,A52.10,ICD10CM,"Symptomatic neurosyphilis, unspecified",neurological,yes,375738,26039008,Neurosyphilis
45552186,A521,A52.12,ICD10CM,Other cerebrospinal syphilis,neurological,yes,375738,26039008,Neurosyphilis
45585922,A521,A52.13,ICD10CM,Late syphilitic meningitis,neurological,yes,4047472,230152000,Late congenital syphilitic meningitis
45581121,A521,A52.14,ICD10CM,Late syphilitic encephalitis,neurological,yes,4045978,230182006,Late syphilitic encephalitis
45600419,A521,A52.15,ICD10CM,Late syphilitic neuropathy,neurological,yes,372243,266126006,Late congenital neurosyphilis
45561715,A521,A52.16,ICD10CM,Charcot's arthropathy (tabetic),neurological,yes,4234127,359554008,Charcot's arthropathy
45605207,A521,A52.17,ICD10CM,General paresis,neurological,yes,377788,51928006,General paresis - neurosyphilis
45581122,A521,A52.19,ICD10CM,Other symptomatic neurosyphilis,neurological,yes,375738,26039008,Neurosyphilis
45556906,A522,A52.2,ICD10,Asymptomatic neurosyphilis,neurological,yes,376335,37754005,Asymptomatic neurosyphilis
35205590,A522,A52.2,ICD10CM,Asymptomatic neurosyphilis,neurological,yes,376335,37754005,Asymptomatic neurosyphilis
45600420,A523,A52.3,ICD10,"Neurosyphilis, unspecified",neurological,yes,375738,26039008,Neurosyphilis
35205591,A523,A52.3,ICD10CM,"Neurosyphilis, unspecified",neurological,yes,375738,26039008,Neurosyphilis
45571437,A527,A52.71,ICD10CM,Late syphilitic oculopathy,neurological,yes,4087751,186842007,Late congenital syphilitic oculopathy
45571438,A527,A52.72,ICD10CM,Syphilis of lung and bronchus,neurological,yes,444294,8555001,Syphilis of lung
45571439,A527,A52.73,ICD10CM,Symptomatic late syphilis of other respiratory organs,neurological,yes,435739,72083004,Late syphilis
45537733,A527,A52.74,ICD10CM,Syphilis of liver and other viscera,neurological,yes,436033,76272004,Syphilis
45561716,A527,A52.75,ICD10CM,Syphilis of kidney and ureter,neurological,yes,436033,76272004,Syphilis
45576244,A527,A52.76,ICD10CM,Other genitourinary symptomatic late syphilis,neurological,yes,435739,72083004,Late syphilis
45600421,A527,A52.77,ICD10CM,Syphilis of bone and joint,neurological,yes,74862,50528008,Syphilis of bone
45537734,A527,A52.78,ICD10CM,Syphilis of other musculoskeletal tissue,neurological,yes,436033,76272004,Syphilis
45581123,A527,A52.79,ICD10CM,Other symptomatic late syphilis,neurological,yes,435739,72083004,Late syphilis
45561717,A528,A52.8,ICD10,"Late syphilis, latent",neurological,yes,4087756,186903006,Late latent syphilis
35205592,A528,A52.8,ICD10CM,"Late syphilis, latent",neurological,yes,4087756,186903006,Late latent syphilis
45556907,A529,A52.9,ICD10,"Late syphilis, unspecified",neurological,yes,435739,72083004,Late syphilis
35205593,A529,A52.9,ICD10CM,"Late syphilis, unspecified",neurological,yes,435739,72083004,Late syphilis
45532844,A53,A53.0,ICD10,"Latent syphilis, unspecified as early or late",neurological,yes,40485064,444150000,Latent syphilis
35205594,A53,A53.0,ICD10CM,"Latent syphilis, unspecified as early or late",neurological,yes,40485064,444150000,Latent syphilis
45600422,A53,A53.9,ICD10,"Syphilis, unspecified",neurological,yes,436033,76272004,Syphilis
35205595,A53,A53.9,ICD10CM,"Syphilis, unspecified",neurological,yes,436033,76272004,Syphilis
45590831,A81,A81.00,ICD10CM,"Creutzfeldt-Jakob disease, unspecified",neurological,yes,372241,792004,Creutzfeldt-Jakob disease
45590832,A81,A81.01,ICD10CM,Variant Creutzfeldt-Jakob disease,neurological,yes,443362,304603007,Variant Creutzfeldt-Jakob disease
45595597,A81,A81.09,ICD10CM,Other Creutzfeldt-Jakob disease,neurological,yes,372241,792004,Creutzfeldt-Jakob disease
45590833,A81,A81.1,ICD10,Subacute sclerosing panencephalitis,neurological,yes,373408,192685000,Subacute sclerosing panencephalitis
35205664,A81,A81.1,ICD10CM,Subacute sclerosing panencephalitis,neurological,yes,373408,192685000,Subacute sclerosing panencephalitis
45537745,A81,A81.2,ICD10,Progressive multifocal leukoencephalopathy,neurological,yes,433957,22255007,Progressive multifocal leukoencephalopathy
35205665,A81,A81.2,ICD10CM,Progressive multifocal leukoencephalopathy,neurological,yes,433957,22255007,Progressive multifocal leukoencephalopathy
45561727,A81,A81.81,ICD10CM,Kuru,neurological,yes,444373,86188000,Kuru
45600438,A81,A81.82,ICD10CM,Gerstmann-Straussler-Scheinker syndrome,neurological,yes,442759,67155006,Gerstmann-Straussler-Scheinker syndrome
45556919,A81,A81.83,ICD10CM,Fatal familial insomnia,neurological,yes,444300,83157008,Fatal familial insomnia
45590834,A81,A81.89,ICD10CM,Other atypical virus infections of central nervous system,neurological,yes,374278,186482006,Slow viral central nervous system infection
45585934,A81,A81.9,ICD10,"Atypical virus infection of central nervous system, unspecified",neurological,yes,374278,186482006,Slow viral central nervous system infection
35205667,A81,A81.9,ICD10CM,"Atypical virus infection of central nervous system, unspecified",neurological,yes,4028070,128117002,Infectious disease of central nervous system
45576256,B100,B10.01,ICD10CM,Human herpesvirus 6 encephalitis,neurological,yes,40479557,441512004,Encephalitis due to human herpesvirus 6 infection
45537753,B100,B10.09,ICD10CM,Other human herpesvirus encephalitis,neurological,yes,376026,428638009,Encephalitis due to Herpesviridae
45571458,B20,B20,ICD10,Human immunodeficiency virus [HIV] disease,immunological,yes,40493262,445945000,Infectious disease associated with acquired immune deficiency syndrome
35205776,B20,B20,ICD10CM,Human immunodeficiency virus [HIV] disease,immunological,yes,439727,86406008,Human immunodeficiency virus infection
45595627,B900,B90.0,ICD10,Sequelae of central nervous system tuberculosis,neurological,yes,373970,187253003,Late effects of central nervous system tuberculosis
35206012,B900,B90.0,ICD10CM,Sequelae of central nervous system tuberculosis,neurological,yes,373970,187253003,Late effects of central nervous system tuberculosis
45561772,B901,B90.1,ICD10,Sequelae of genitourinary tuberculosis,genitourinary,no,81229,187254009,Late effects of genitourinary system tuberculosis
35206013,B901,B90.1,ICD10CM,Sequelae of genitourinary tuberculosis,genitourinary,no,81229,187254009,Late effects of genitourinary system tuberculosis
45566564,B902,B90.2,ICD10,Sequelae of tuberculosis of bones and joints,musculoskeletal,no,433421,187255005,Late effects of tuberculosis of bones and/or joints
35206014,B902,B90.2,ICD10CM,Sequelae of tuberculosis of bones and joints,musculoskeletal,no,433421,187255005,Late effects of tuberculosis of bones and/or joints
45571483,B908,B90.8,ICD10,Sequelae of tuberculosis of other organs,pulmonary/respiratory,no,4090205,187251001,Sequelae of tuberculosis
35206015,B908,B90.8,ICD10CM,Sequelae of tuberculosis of other organs,pulmonary/respiratory,no,4090205,187251001,Sequelae of tuberculosis
45547474,B909,B90.9,ICD10,Sequelae of respiratory and unspecified tuberculosis,pulmonary/respiratory,no,439743,187252008,Late effects of respiratory tuberculosis
35206016,B909,B90.9,ICD10CM,Sequelae of respiratory and unspecified tuberculosis,pulmonary/respiratory,no,439743,187252008,Late effects of respiratory tuberculosis
45547475,B91,B91,ICD10,Sequelae of poliomyelitis,neurological,yes,377802,110270004,Late effects of poliomyelitis
35206017,B91,B91,ICD10CM,Sequelae of poliomyelitis,neurological,yes,377802,110270004,Late effects of poliomyelitis
45561777,B9735,B97.35,ICD10CM,"Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere",immunological,yes,432554,79019005,Human immunodeficiency virus II infection
45595633,C0,C00.0,ICD10,Malignant neoplasm of external upper lip,malignancy,n/a,4180779,363348004,Malignant tumor of lip
35206047,C0,C00.0,ICD10CM,Malignant neoplasm of external upper lip,malignancy,n/a,4090216,187606005,Malignant tumor of upper labial mucosa
45581198,C0,C00.1,ICD10,Malignant neoplasm of external lower lip,malignancy,n/a,4089516,187604008,"Malignant neoplasm of lower lip, external"
35206048,C0,C00.1,ICD10CM,Malignant neoplasm of external lower lip,malignancy,n/a,4089516,187604008,"Malignant neoplasm of lower lip, external"
45556958,C0,C00.2,ICD10,"Malignant neoplasm of external lip, unspecified",malignancy,n/a,4180779,363348004,Malignant tumor of lip
35206049,C0,C00.2,ICD10CM,"Malignant neoplasm of external lip, unspecified",malignancy,n/a,4180779,363348004,Malignant tumor of lip
45576294,C0,C00.3,ICD10,"Malignant neoplasm of upper lip, inner aspect",malignancy,n/a,4090216,187606005,Malignant tumor of upper labial mucosa
35206050,C0,C00.3,ICD10CM,"Malignant neoplasm of upper lip, inner aspect",malignancy,n/a,4090216,187606005,Malignant tumor of upper labial mucosa
45552242,C0,C00.4,ICD10,"Malignant neoplasm of lower lip, inner aspect",malignancy,n/a,4150793,271568003,Malignant tumor of lower labial mucosa
35206051,C0,C00.4,ICD10CM,"Malignant neoplasm of lower lip, inner aspect",malignancy,n/a,4150793,271568003,Malignant tumor of lower labial mucosa
45556959,C0,C00.5,ICD10,"Malignant neoplasm of lip, unspecified, inner aspect",malignancy,n/a,4089520,187622006,Malignant tumor of labial mucosa
35206052,C0,C00.5,ICD10CM,"Malignant neoplasm of lip, unspecified, inner aspect",malignancy,n/a,4089520,187622006,Malignant tumor of labial mucosa
45590875,C0,C00.6,ICD10,"Malignant neoplasm of commissure of lip, unspecified",malignancy,n/a,4130980,126777006,Neoplasm of commissure of lip
35206053,C0,C00.6,ICD10CM,"Malignant neoplasm of commissure of lip, unspecified",malignancy,n/a,4177100,363374005,Malignant tumor of commissure of lip
45581199,C0,C00.8,ICD10,Malignant neoplasm of overlapping sites of lip,malignancy,n/a,133710,109822001,Overlapping malignant neoplasm of lip
