concept_id,concept_name,concept_code,vocabulary_id,drug_group
19080315,Amlodipine 10 MG [Norvasc],572746,RxNorm,amlodipine
1332494,Amlodipine 10 MG / atorvastatin 20 MG Oral Tablet,597967,RxNorm,amlodipine
40226366,aliskiren / Amlodipine Oral Tablet,1009218,RxNorm,amlodipine
19073094,Amlodipine 2.5 MG Oral Tablet,308136,RxNorm,amlodipine
40171551,Amlodipine 10 MG / Benazepril hydrochloride 40 MG Oral Capsule [Lotrel],898348,RxNorm,amlodipine
19128156,Amlodipine 2.5 MG / atorvastatin 40 MG [Caduet],750213,RxNorm,amlodipine
40167851,Amlodipine 5 MG / telmisartan 40 MG [Twynsta],876526,RxNorm,amlodipine
19128155,Amlodipine 10 MG / atorvastatin 80 MG Oral Tablet [Caduet],750211,RxNorm,amlodipine
40167849,Amlodipine 5 MG / telmisartan 40 MG Oral Tablet,876524,RxNorm,amlodipine
1332419,Amlodipine 5 MG Oral Tablet,197361,RxNorm,amlodipine
40167846,Amlodipine 10 MG / telmisartan 80 MG Oral Tablet,876519,RxNorm,amlodipine
40224170,Amlodipine 10 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],999995,RxNorm,amlodipine
40167843,Amlodipine 10 MG / telmisartan 40 MG Oral Tablet,876514,RxNorm,amlodipine
40144458,Amlodipine / atorvastatin Oral Tablet [Caduet],750218,RxNorm,amlodipine
19122210,Amlodipine 10 MG / atorvastatin 40 MG Oral Tablet,597990,RxNorm,amlodipine
40171560,Amlodipine 5 MG / Benazepril hydrochloride 20 MG Oral Capsule [Lotrel],898358,RxNorm,amlodipine
1332530,Amlodipine 10 MG / valsartan 320 MG Oral Tablet [Exforge],724887,RxNorm,amlodipine
36231600,Lotrel Oral Product,1180906,RxNorm,amlodipine
45892981,Amlodipine 10 MG / Perindopril arginine 14 MG Oral Tablet,1600716,RxNorm,amlodipine
19128160,Amlodipine 2.5 MG / atorvastatin 10 MG [Caduet],750221,RxNorm,amlodipine
36221769,aliskiren / Amlodipine Pill,1164882,RxNorm,amlodipine
1510709,Amlodipine 10 MG / celecoxib 200 MG Oral Tablet,2047717,RxNorm,amlodipine
40226375,aliskiren 150 MG / Amlodipine 5 MG Oral Tablet,1009220,RxNorm,amlodipine
19128157,Amlodipine 2.5 MG / atorvastatin 40 MG Oral Tablet [Caduet],750215,RxNorm,amlodipine
1560059,Amlodipine / celecoxib Oral Tablet [Consensi],2049590,RxNorm,amlodipine
40226374,aliskiren 150 MG / Amlodipine 10 MG [Tekamlo],1009248,RxNorm,amlodipine
36237275,Caduet Oral Product,1170193,RxNorm,amlodipine
40008979,Amlodipine Oral Tablet [Norvasc],368359,RxNorm,amlodipine
1332499,Amlodipine 5 MG / atorvastatin 40 MG Oral Tablet,597984,RxNorm,amlodipine
36217709,Amlodipine / Hydrochlorothiazide / olmesartan Pill,1152278,RxNorm,amlodipine
1332532,Amlodipine 5 MG / valsartan 320 MG Oral Tablet [Exforge],724895,RxNorm,amlodipine
19128169,Amlodipine 5 MG / atorvastatin 80 MG Oral Tablet [Caduet],750239,RxNorm,amlodipine
40142669,Amlodipine / olmesartan Oral Tablet,730860,RxNorm,amlodipine
974861,Amlodipine 10 MG / Hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet [Exforge HCT],848139,RxNorm,amlodipine
36248704,Amlodipine / Perindopril Pill,1600714,RxNorm,amlodipine
19048172,Amlodipine 5 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG [Exforge HCT],848147,RxNorm,amlodipine
974887,Amlodipine 10 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [Exforge HCT],848155,RxNorm,amlodipine
40232341,aliskiren 300 MG / Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG [Amturnide],1050810,RxNorm,amlodipine
40232335,aliskiren 300 MG / Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG [Amturnide],1050804,RxNorm,amlodipine
36217718,Amlodipine / telmisartan Oral Product,1152287,RxNorm,amlodipine
40224176,Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],1000000,RxNorm,amlodipine
19128161,Amlodipine 2.5 MG / atorvastatin 10 MG Oral Tablet [Caduet],750223,RxNorm,amlodipine
40226393,aliskiren 300 MG / Amlodipine 10 MG [Tekamlo],1009317,RxNorm,amlodipine
19014791,Amlodipine 5 MG / valsartan 160 MG [Exforge],724889,RxNorm,amlodipine
1510708,Amlodipine 5 MG / celecoxib 200 MG Oral Tablet,2047716,RxNorm,amlodipine
36242838,Twynsta Pill,1186904,RxNorm,amlodipine
974885,Amlodipine 5 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [Exforge HCT],848149,RxNorm,amlodipine
19108731,Amlodipine 5 MG Extended Release Oral Capsule,437440,RxNorm,amlodipine
45892993,Amlodipine 5 MG / Perindopril arginine 7 MG Oral Tablet [Prestalia],1600730,RxNorm,amlodipine
45892987,Amlodipine 2.5 MG / Perindopril arginine 3.5 MG Oral Tablet,1600724,RxNorm,amlodipine
45892983,Amlodipine 10 MG / Perindopril arginine 14 MG [Prestalia],1600718,RxNorm,amlodipine
1332495,Amlodipine 2.5 MG / atorvastatin 10 MG Oral Tablet,597971,RxNorm,amlodipine
40232342,aliskiren 300 MG / Amlodipine 5 MG / Hydrochlorothiazide 25 MG Oral Tablet,1050812,RxNorm,amlodipine
45892980,Amlodipine / Perindopril Oral Tablet,1600715,RxNorm,amlodipine
36245317,Amlodipine Disintegrating Oral Product,1295310,RxNorm,amlodipine
40226368,aliskiren / Amlodipine Oral Tablet [Tekamlo],1009252,RxNorm,amlodipine
1510707,Amlodipine 2.5 MG / celecoxib 200 MG Oral Tablet,2047715,RxNorm,amlodipine
19128152,Amlodipine 10 MG / atorvastatin 40 MG [Caduet],750205,RxNorm,amlodipine
45892989,Amlodipine 2.5 MG / Perindopril arginine 3.5 MG Oral Tablet [Prestalia],1600726,RxNorm,amlodipine
40224153,Amlodipine / Hydrochlorothiazide / olmesartan Oral Tablet,999966,RxNorm,amlodipine
1560060,Consensi Oral Product,2049591,RxNorm,amlodipine
40171548,Amlodipine 10 MG / Benazepril hydrochloride 20 MG Oral Capsule [Lotrel],898344,RxNorm,amlodipine
40171563,Amlodipine 5 MG / Benazepril hydrochloride 40 MG Oral Capsule [Lotrel],898361,RxNorm,amlodipine
19127430,Amlodipine 10 MG / Olmesartan medoxomil 20 MG Oral Tablet,730861,RxNorm,amlodipine
19128153,Amlodipine 10 MG / atorvastatin 40 MG Oral Tablet [Caduet],750207,RxNorm,amlodipine
36219590,aliskiren / Amlodipine / Hydrochlorothiazide Oral Product,1164294,RxNorm,amlodipine
1332522,Amlodipine 2.5 MG / atorvastatin 40 MG Oral Tablet,597993,RxNorm,amlodipine
1332500,Amlodipine 10 MG / atorvastatin 10 MG Oral Tablet,597987,RxNorm,amlodipine
40171554,Amlodipine 2.5 MG / Benazepril hydrochloride 10 MG Oral Capsule [Lotrel],898352,RxNorm,amlodipine
40171549,Amlodipine 10 MG / Benazepril hydrochloride 20 MG [Lotrel],898343,RxNorm,amlodipine
36217716,Amlodipine / olmesartan Oral Product,1152285,RxNorm,amlodipine
36239102,Tribenzor Oral Product,1182686,RxNorm,amlodipine
40008941,Amlodipine / atorvastatin Oral Tablet,405788,RxNorm,amlodipine
36235221,Amturnide Pill,1174207,RxNorm,amlodipine
40226396,aliskiren 300 MG / Amlodipine 5 MG [Tekamlo],1009322,RxNorm,amlodipine
40160343,Amlodipine / Hydrochlorothiazide / valsartan Oral Tablet [Exforge HCT],848148,RxNorm,amlodipine
1332450,Amlodipine 5 MG,329528,RxNorm,amlodipine
40226376,aliskiren 150 MG / Amlodipine 5 MG Oral Tablet [Tekamlo],1009253,RxNorm,amlodipine
36217722,Amlodipine Oral Product,1152291,RxNorm,amlodipine
40167838,Amlodipine / telmisartan Oral Tablet,876513,RxNorm,amlodipine
19128149,Amlodipine 10 MG / atorvastatin 10 MG Oral Tablet [Caduet],750199,RxNorm,amlodipine
40171550,Amlodipine 10 MG / Benazepril hydrochloride 40 MG Oral Capsule,898346,RxNorm,amlodipine
40171557,Amlodipine 5 MG / Benazepril hydrochloride 10 MG Oral Capsule [Lotrel],898355,RxNorm,amlodipine
36248705,Prestalia Oral Product,1600720,RxNorm,amlodipine
1332421,Amlodipine 5 MG Oral Tablet [Norvasc],212549,RxNorm,amlodipine
1332528,Amlodipine 5 MG / valsartan 320 MG Oral Tablet,722137,RxNorm,amlodipine
40008977,Amlodipine Oral Capsule,437439,RxNorm,amlodipine
1312776,Amlodipine 10 MG / Olmesartan medoxomil 20 MG Oral Tablet [Azor],744624,RxNorm,amlodipine
1332529,Amlodipine 10 MG / valsartan 160 MG Oral Tablet [Exforge],724879,RxNorm,amlodipine
40224174,Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 20 MG [Tribenzor],999969,RxNorm,amlodipine
40226395,aliskiren 300 MG / Amlodipine 5 MG Oral Tablet [Tekamlo],1009324,RxNorm,amlodipine
40224173,Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 20 MG Oral Tablet [Tribenzor],999971,RxNorm,amlodipine
40167853,Amlodipine 5 MG / telmisartan 80 MG Oral Tablet [Twynsta],876533,RxNorm,amlodipine
1361517,Amlodipine Oral Liquid Product,2184118,RxNorm,amlodipine
1510705,Amlodipine / celecoxib Pill,2047712,RxNorm,amlodipine
1332449,Amlodipine 2.5 MG,329527,RxNorm,amlodipine
36217719,Amlodipine / telmisartan Pill,1152288,RxNorm,amlodipine
40226373,aliskiren 150 MG / Amlodipine 10 MG Oral Tablet [Tekamlo],1009249,RxNorm,amlodipine
36237783,Exforge HCT Oral Product,1173249,RxNorm,amlodipine
1332496,Amlodipine 2.5 MG / atorvastatin 20 MG Oral Tablet,597974,RxNorm,amlodipine
36237782,Exforge Pill,1173242,RxNorm,amlodipine
40167847,Amlodipine 10 MG / telmisartan 80 MG Oral Tablet [Twynsta],876523,RxNorm,amlodipine
40224167,Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],999990,RxNorm,amlodipine
974883,Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet [Exforge HCT],848144,RxNorm,amlodipine
40232340,aliskiren 300 MG / Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Amturnide],1050811,RxNorm,amlodipine
40224154,Amlodipine / Hydrochlorothiazide / olmesartan Oral Tablet [Tribenzor],999970,RxNorm,amlodipine
40167852,Amlodipine 5 MG / telmisartan 80 MG Oral Tablet,876529,RxNorm,amlodipine
36222121,Azor Pill,1166088,RxNorm,amlodipine
36237784,Exforge HCT Pill,1173250,RxNorm,amlodipine
40224169,Amlodipine 10 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet,999991,RxNorm,amlodipine
40224175,Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG Oral Tablet,999996,RxNorm,amlodipine
40224178,Amlodipine 5 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet,1000001,RxNorm,amlodipine
19020110,Amlodipine 10 MG / Olmesartan medoxomil 20 MG [Azor],744622,RxNorm,amlodipine
1332497,Amlodipine 5 MG / atorvastatin 10 MG Oral Tablet,597977,RxNorm,amlodipine
36217717,Amlodipine / olmesartan Pill,1152286,RxNorm,amlodipine
45892992,Amlodipine 5 MG / Perindopril arginine 7 MG [Prestalia],1600729,RxNorm,amlodipine
19128148,Amlodipine 10 MG / atorvastatin 10 MG [Caduet],750197,RxNorm,amlodipine
1361522,Amlodipine Oral Suspension [Katerzia],2184123,RxNorm,amlodipine
36221768,aliskiren / Amlodipine Oral Product,1164881,RxNorm,amlodipine
36217712,Amlodipine / atorvastatin Oral Product,1152281,RxNorm,amlodipine
1312778,Amlodipine 5 MG / Olmesartan medoxomil 20 MG Oral Tablet [Azor],744632,RxNorm,amlodipine
19128164,Amlodipine 5 MG / atorvastatin 20 MG [Caduet],750229,RxNorm,amlodipine
1312777,Amlodipine 10 MG / Olmesartan medoxomil 40 MG Oral Tablet [Azor],744628,RxNorm,amlodipine
40145312,Amlodipine Disintegrating Oral Tablet,757673,RxNorm,amlodipine
45892991,Amlodipine 5 MG / Perindopril arginine 7 MG Oral Tablet,1600728,RxNorm,amlodipine
1361518,Amlodipine Oral Suspension,2184119,RxNorm,amlodipine
40224171,Amlodipine 10 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG [Tribenzor],999993,RxNorm,amlodipine
40160338,Amlodipine / Hydrochlorothiazide / valsartan Oral Tablet,848130,RxNorm,amlodipine
1560058,Amlodipine 2.5 MG / celecoxib 200 MG [Consensi],2049589,RxNorm,amlodipine
40226394,aliskiren 300 MG / Amlodipine 5 MG Oral Tablet,1009320,RxNorm,amlodipine
40224180,Amlodipine 5 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG [Tribenzor],1000003,RxNorm,amlodipine
36239576,Norvasc Pill,1185733,RxNorm,amlodipine
40142670,Amlodipine / olmesartan Oral Tablet [Azor],744623,RxNorm,amlodipine
19129157,Amlodipine 5 MG Disintegrating Oral Tablet,757676,RxNorm,amlodipine
40232332,aliskiren 150 MG / Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG [Amturnide],1050800,RxNorm,amlodipine
19080313,Amlodipine 2.5 MG [Norvasc],572719,RxNorm,amlodipine
19103475,Amlodipine 5 MG Oral Capsule,410587,RxNorm,amlodipine
1332531,Amlodipine 5 MG / valsartan 160 MG Oral Tablet [Exforge],724891,RxNorm,amlodipine
1361523,Katerzia Oral Liquid Product,2184124,RxNorm,amlodipine
19128162,Amlodipine 5 MG / atorvastatin 10 MG [Caduet],750225,RxNorm,amlodipine
36239575,Norvasc Oral Product,1185732,RxNorm,amlodipine
1560061,Consensi Pill,2049592,RxNorm,amlodipine
40140541,Amlodipine / valsartan Oral Tablet,722125,RxNorm,amlodipine
40224172,Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 20 MG Oral Tablet,999967,RxNorm,amlodipine
19128150,Amlodipine 10 MG / atorvastatin 20 MG [Caduet],750201,RxNorm,amlodipine
1361524,Katerzia Oral Product,2184125,RxNorm,amlodipine
19128167,Amlodipine 5 MG / atorvastatin 40 MG Oral Tablet [Caduet],750235,RxNorm,amlodipine
19128158,Amlodipine 2.5 MG / atorvastatin 20 MG [Caduet],750217,RxNorm,amlodipine
45892985,Amlodipine 10 MG / Perindopril arginine 14 MG Oral Tablet [Prestalia],1600722,RxNorm,amlodipine
1510704,Amlodipine / celecoxib Oral Product,2047711,RxNorm,amlodipine
19128154,Amlodipine 10 MG / atorvastatin 80 MG [Caduet],750209,RxNorm,amlodipine
45892988,Amlodipine 2.5 MG / Perindopril arginine 3.5 MG [Prestalia],1600725,RxNorm,amlodipine
40224166,Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG Oral Tablet,999986,RxNorm,amlodipine
36238510,Tribenzor Pill,1182147,RxNorm,amlodipine
1510706,Amlodipine / celecoxib Oral Tablet,2047713,RxNorm,amlodipine
36237781,Exforge Oral Product,1173241,RxNorm,amlodipine
36230668,Tekamlo Oral Product,1180862,RxNorm,amlodipine
1332526,Amlodipine 10 MG / valsartan 320 MG Oral Tablet,722131,RxNorm,amlodipine
19127432,Amlodipine 10 MG / Olmesartan medoxomil 40 MG Oral Tablet,730866,RxNorm,amlodipine
19129156,Amlodipine 2.5 MG Disintegrating Oral Tablet,757675,RxNorm,amlodipine
19048223,Amlodipine 10 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG [Exforge HCT],848153,RxNorm,amlodipine
40141364,Amlodipine / valsartan Oral Tablet [Exforge],724894,RxNorm,amlodipine
19102567,Amlodipine 10 MG / atorvastatin 80 MG Oral Tablet,404013,RxNorm,amlodipine
19128166,Amlodipine 5 MG / atorvastatin 40 MG [Caduet],750233,RxNorm,amlodipine
40171547,Amlodipine 10 MG / Benazepril hydrochloride 20 MG Oral Capsule,898342,RxNorm,amlodipine
36217714,Amlodipine / benazepril Oral Product,1152283,RxNorm,amlodipine
40167845,Amlodipine 10 MG / telmisartan 40 MG [Twynsta],876516,RxNorm,amlodipine
40226391,aliskiren 300 MG / Amlodipine 10 MG Oral Tablet,1009315,RxNorm,amlodipine
36248706,Prestalia Pill,1600721,RxNorm,amlodipine
40167854,Amlodipine 5 MG / telmisartan 80 MG [Twynsta],876531,RxNorm,amlodipine
40171562,Amlodipine 5 MG / Benazepril hydrochloride 40 MG Oral Capsule,898359,RxNorm,amlodipine
19080314,Amlodipine 5 MG [Norvasc],572722,RxNorm,amlodipine
1332420,Amlodipine 2.5 MG Oral Tablet [Norvasc],212542,RxNorm,amlodipine
40226392,aliskiren 300 MG / Amlodipine 10 MG Oral Tablet [Tekamlo],1009319,RxNorm,amlodipine
974884,Amlodipine 5 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet,848145,RxNorm,amlodipine
40142680,Amlodipine / benazepril Oral Capsule [Lotrel],744885,RxNorm,amlodipine
40224168,Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG [Tribenzor],999988,RxNorm,amlodipine
36217721,Amlodipine / valsartan Pill,1152290,RxNorm,amlodipine
40232331,aliskiren 150 MG / Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Amturnide],1050802,RxNorm,amlodipine
19129155,Amlodipine 10 MG Disintegrating Oral Tablet,757674,RxNorm,amlodipine
40226377,aliskiren 150 MG / Amlodipine 5 MG [Tekamlo],1009251,RxNorm,amlodipine
40171561,Amlodipine 5 MG / Benazepril hydrochloride 20 MG [Lotrel],898357,RxNorm,amlodipine
40167850,Amlodipine 5 MG / telmisartan 40 MG Oral Tablet [Twynsta],876528,RxNorm,amlodipine
40232334,aliskiren 300 MG / Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Amturnide],1050805,RxNorm,amlodipine
40171559,Amlodipine 5 MG / Benazepril hydrochloride 20 MG Oral Capsule,898356,RxNorm,amlodipine
19048136,Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG / valsartan 160 MG [Exforge HCT],848132,RxNorm,amlodipine
40224177,Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG [Tribenzor],999998,RxNorm,amlodipine
