concept_id,concept_name,concept_code,vocabulary_id
40853958,Losartan 50 MG Oral Tablet [Losartan Hormosan] Box of 98 by Hormosan,OMOP2051920,RxNorm Extension
44168037,Amlodipine 6.94 MG / telmisartan 80 MG Oral Tablet [Twynsta] Box of 98 by 2care4,OMOP3044760,RxNorm Extension
40849022,candesartan 16 MG Oral Tablet [Candesartan Aurobindo] Box of 98,OMOP2046984,RxNorm Extension
41135456,irbesartan 300 MG Oral Tablet [Irbesartan Ct] Box of 28 by AbZ-Pharma,OMOP2333418,RxNorm Extension
40907404,Hydrochlorothiazide 25 MG / Ramipril 5 MG Oral Tablet [Ramipril Hct G],OMOP2105366,RxNorm Extension
35412601,Amlodipine 5 MG / telmisartan 80 MG Oral Tablet [Twynsta] Box of 90 by Boehringer Ingelheim,OMOP1146186,RxNorm Extension
41135721,Hydrochlorothiazide 12.5 MG / valsartan 80 MG Oral Tablet [Codiovan] Box of 56 by Novartis,OMOP2333683,RxNorm Extension
41184958,piretanide 6 MG / Ramipril 5 MG Oral Tablet [Aretensin] Box of 100,OMOP2382920,RxNorm Extension
44095737,irbesartan Oral Tablet [Ran-Irbesartan],OMOP1090368,RxNorm Extension
21033432,irbesartan 75 MG Oral Tablet by Generics,OMOP374731,RxNorm Extension
44171773,Amlodipine 6.94 MG / telmisartan 80 MG Oral Tablet [Twynsta] Box of 28 by Aca Mueller,OMOP3048496,RxNorm Extension
44076035,irbesartan 300 MG Oral Tablet by Sivem,OMOP1070666,RxNorm Extension
44128029,Hydrochlorothiazide 25 MG / telmisartan 80 MG Oral Tablet [Ran-Telmisartan] by Ranbaxy,OMOP1122660,RxNorm Extension
21033399,valsartan 80 MG Oral Capsule Box of 28,OMOP374185,RxNorm Extension
43293144,candesartan 32 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Candesartan Cilexetil Hctz] by Chemmart,OMOP572381,RxNorm Extension
21151688,telmisartan 40 MG Oral Tablet [Tolura],OMOP381795,RxNorm Extension
41072581,irbesartan 300 MG Oral Tablet [Irbesartan Abz] Box of 98 by AbZ-Pharma,OMOP2270543,RxNorm Extension
41063305,Hydrochlorothiazide 12.5 MG / telmisartan 80 MG Oral Tablet [Tolucombi] Box of 98,OMOP2261267,RxNorm Extension
21131902,telmisartan 40 MG Oral Tablet Box of 28 by Mawdsley-Brooks,OMOP381763,RxNorm Extension
41260223,Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [VALSARTAN RATIOPHARM] Box of 98 by Ratiopharm,OMOP2458185,RxNorm Extension
43786047,valsartan 40 MG Oral Tablet [VALSARTAN ZENTIVA] by Zentiva,OMOP693489,RxNorm Extension
41200178,candesartan 16 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Ratacand] Box of 56 by Kohlpharma,OMOP2398140,RxNorm Extension
44063187,Losartan 50 MG Oral Tablet by Frosst,OMOP1057818,RxNorm Extension
43660749,olmesartan Oral Tablet [Votum],OMOP699657,RxNorm Extension
36259787,Amlodipine 5 MG / valsartan 160 MG Oral Tablet Box of 98,OMOP3110662,RxNorm Extension
43786162,candesartan 32 MG Oral Tablet [Candesartancilexetil Ct] by AbZ-Pharma,OMOP695194,RxNorm Extension
41194860,valsartan 80 MG Oral Tablet [Valsartan Stada] Box of 56 by Stada,OMOP2392822,RxNorm Extension
43157030,candesartan 16 MG / Hydrochlorothiazide 12.5 MG Oral Tablet Box of 90,OMOP447704,RxNorm Extension
43134857,Hydrochlorothiazide 25 MG / telmisartan 80 MG Oral Tablet [MicardisPlus] Box of 90,OMOP447428,RxNorm Extension
40876449,Hydrochlorothiazide 12.5 MG / Ramipril 2.5 MG Oral Tablet [Ramipril Sk] Box of 20,OMOP2074411,RxNorm Extension
40823074,Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet [Valsacor] Box of 98,OMOP2021036,RxNorm Extension
40915241,olmesartan 20 MG Oral Tablet [Olmetec] Box of 56 by Emra-Med,OMOP2113203,RxNorm Extension
40918646,candesartan 32 MG Oral Tablet [Ratacand] Box of 28 by Aca Mueller,OMOP2116608,RxNorm Extension
21062948,valsartan 160 MG Oral Capsule by Actavis,OMOP374279,RxNorm Extension
44099258,Hydrochlorothiazide 12.5 MG / Losartan 50 MG Oral Tablet [Mint-Losartan/Hctz],OMOP1093889,RxNorm Extension
44025396,candesartan 8 MG Oral Tablet [Q-Candesartan],OMOP1020027,RxNorm Extension
41072153,Losartan 100 MG Oral Tablet [Losartan Al] Box of 28 by Aliud,OMOP2270115,RxNorm Extension
41038134,valsartan 320 MG Oral Tablet [Diovan] Box of 28 by Cc,OMOP2236096,RxNorm Extension
21062983,Hydrochlorothiazide 12.5 MG / irbesartan 300 MG Oral Tablet [CoAprovel] by Necessity Supplies,OMOP374927,RxNorm Extension
41001066,Hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet [Valsartan Actavis],OMOP2199028,RxNorm Extension
44128024,Hydrochlorothiazide 12.5 MG / valsartan 80 MG Oral Tablet [Apo-Valsartan/Hctz] by Apotex,OMOP1122655,RxNorm Extension
44186757,Amlodipine 6.94 MG / Hydrochlorothiazide 12.5 MG / olmesartan 40 MG Oral Tablet [Sevikar] Box of 98 by Eurim-Pharm,OMOP3063480,RxNorm Extension
36265780,candesartan 16 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [CANDESARTAN/HYDROCHLOROTHIAZIDE SANDOZ] Box of 28,OMOP3116655,RxNorm Extension
42482816,candesartan 32 MG Oral Tablet [Atacand] by Takeda,OMOP421093,RxNorm Extension
44051380,candesartan 16 MG Oral Tablet [Act Candesartan] by Actavis,OMOP1046011,RxNorm Extension
43600038,candesartan 32 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Candesartan Hydrochlorothiazide Liconsa] by Liconsa,OMOP797717,RxNorm Extension
43266748,Hydrochlorothiazide 12.5 MG / irbesartan 150 MG Oral Tablet [Irbesartan Hct] Box of 30 by Actavis,OMOP533804,RxNorm Extension
43265898,candesartan 32 MG Oral Tablet Box of 30 by Sandoz,OMOP570119,RxNorm Extension
36265962,Amlodipine 10 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [Exforge HCT] Box of 98 by Novartis,OMOP3116837,RxNorm Extension
40938838,Hydrochlorothiazide 25 MG / irbesartan 300 MG Oral Tablet [Irbesartan Hormosan],OMOP2136800,RxNorm Extension
43714366,irbesartan 75 MG Oral Tablet [Irbesartan Hexal] by Hexal,OMOP698444,RxNorm Extension
41106207,candesartan 16 MG Oral Tablet [Candesartan Abz] Box of 28 by AbZ-Pharma,OMOP2304169,RxNorm Extension
43283049,Hydrochlorothiazide 25 MG / telmisartan 80 MG Oral Tablet [Teltartan] Box of 28,OMOP533969,RxNorm Extension
44124337,valsartan 160 MG Oral Tablet [VALSARTAN TEVA],OMOP1118968,RxNorm Extension
43581981,Hydrochlorothiazide 12.5 MG / valsartan 80 MG Oral Tablet by Aliud,OMOP792967,RxNorm Extension
43744079,Hydrochlorothiazide 12.5 MG / telmisartan 40 MG Oral Tablet [Telmisartan Plus Hydrochlorothiazid Al],OMOP796708,RxNorm Extension
41133603,piretanide 6 MG / Ramipril 5 MG Oral Tablet [Prilace] Box of 50 by Kohlpharma,OMOP2331565,RxNorm Extension
43858420,candesartan 8 MG Oral Tablet [Candesartan Heumann],OMOP695280,RxNorm Extension
41135755,Hydrochlorothiazide 12.5 MG / Ramipril 2.5 MG Oral Tablet [Triatec Plus Kohlpharma] Box of 100 by Kohlpharma,OMOP2333717,RxNorm Extension
43203495,Amlodipine 10 MG / telmisartan 80 MG Oral Tablet [Twynsta] Box of 90,OMOP470495,RxNorm Extension
21070027,candesartan 2 MG Oral Tablet by DE,OMOP350951,RxNorm Extension
41106213,candesartan 4 MG Oral Tablet [Candesartan Ratiopharm] Box of 100 by Ratiopharm,OMOP2304175,RxNorm Extension
41156330,Losartan 100 MG Oral Tablet [Losartan Heumann] Box of 28,OMOP2354292,RxNorm Extension
43189887,candesartan 8 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [CANDESARTAN/HYDROCHLOROTHIAZIDE ACTAVIS] Box of 90 by Actavis,OMOP447604,RxNorm Extension
41148232,Hydrochlorothiazide 25 MG / Ramipril 5 MG Oral Tablet Box of 30,OMOP2346194,RxNorm Extension
21106261,Losartan 50 MG Oral Tablet Box of 28 by Necessity Supplies,OMOP282631,RxNorm Extension
40945129,telmisartan 80 MG Oral Tablet [Micardis] Box of 98 by Mtk,OMOP2143091,RxNorm Extension
41224893,Amlodipine 6.94 MG / telmisartan 80 MG Oral Tablet [Twynsta] Box of 98,OMOP2422855,RxNorm Extension
40916095,Losartan 100 MG Oral Tablet [Losartan Aristo] Box of 56 by Aristo,OMOP2114057,RxNorm Extension
40956624,Losartan Oral Tablet [Losartan Hormosan],OMOP2154586,RxNorm Extension
21050259,candesartan 4 MG Oral Tablet Box of 28 by Zentiva,OMOP351747,RxNorm Extension
21158399,candesartan 8 MG Oral Tablet by Sandoz,OMOP349498,RxNorm Extension
36258933,Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet [VALSARTAN/HYDROCHLOROTHIAZIDE SANDOZ] Box of 28 by Sandoz,OMOP3109808,RxNorm Extension
21115157,azilsartan 80 MG Oral Tablet [Edarbi] Box of 28,OMOP266254,RxNorm Extension
41032263,Hydrochlorothiazide 12.5 MG / Losartan 50 MG Oral Tablet [Losartan Bz],OMOP2230225,RxNorm Extension
21135625,Losartan 50 MG Oral Tablet [Cozaar] Box of 10 by Dowelhurst,OMOP282658,RxNorm Extension
35412454,candesartan 16 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [CANDESARTAN/HYDROCHLOROTHIAZIDE EVOLUGEN] Box of 30,OMOP1146039,RxNorm Extension
21123535,Hydrochlorothiazide 25 MG / Losartan 100 MG Oral Tablet Box of 28 by Ranbaxy,OMOP408010,RxNorm Extension
43292777,Amlodipine 5 MG / telmisartan 80 MG Oral Tablet Box of 14,OMOP543351,RxNorm Extension
43276584,Amlodipine 5 MG / telmisartan 80 MG Oral Tablet Box of 28,OMOP543416,RxNorm Extension
41199100,eprosartan 600 MG Oral Tablet [Teveten] Box of 56 by Orifarm Leverkus,OMOP2397062,RxNorm Extension
43277909,irbesartan 75 MG Oral Tablet Box of 7,OMOP535408,RxNorm Extension
40940166,eprosartan 600 MG Oral Tablet [Emestar] Box of 28,OMOP2138128,RxNorm Extension
40876453,Hydrochlorothiazide 12.5 MG / Ramipril 2.5 MG Oral Tablet [Ramipril Dura] Box of 30,OMOP2074415,RxNorm Extension
43293973,Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [Valsartan Hctz] Box of 28,OMOP534075,RxNorm Extension
40235485,azilsartan,1091643,RxNorm
40995036,valsartan 320 MG Oral Tablet [Valsartan Dexcel] Box of 28,OMOP2192998,RxNorm Extension
36260883,Amlodipine 5 MG / olmesartan 20 MG Oral Tablet [Sevikar] Box of 98 by Daiichi Sankyo,OMOP3111758,RxNorm Extension
40876492,Hydrochlorothiazide 25 MG / Losartan 100 MG Oral Tablet [Losartan Biomo],OMOP2074454,RxNorm Extension
40851575,telmisartan 40 MG Oral Tablet [Telmisartan Zentiv] Box of 100 by Sanofi,OMOP2049537,RxNorm Extension
43660405,valsartan 160 MG Oral Tablet [Valsartan Aaa] by AAA-Pharma,OMOP693742,RxNorm Extension
44166634,Amlodipine 6.94 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [Exforge HCT] Box of 28,OMOP3043357,RxNorm Extension
41094888,Hydrochlorothiazide 12.5 MG / valsartan 320 MG Oral Tablet [Provas] Box of 28,OMOP2292850,RxNorm Extension
44057080,Hydrochlorothiazide / telmisartan Oral Tablet [Auro-Telmisartan],OMOP1051711,RxNorm Extension
43587984,Losartan 12.5 MG Oral Tablet [Losartan-Kalium Bluefish],OMOP691683,RxNorm Extension
41093614,Losartan 25 MG Oral Tablet [Losartan Steiner],OMOP2291576,RxNorm Extension
41157665,Hydrochlorothiazide 25 MG / Ramipril 5 MG Oral Tablet [Ramipril Hct G] Box of 100,OMOP2355627,RxNorm Extension
36269630,Hydrochlorothiazide / olmesartan Oral Tablet [Co-Olmesartan Sandoz],OMOP3120505,RxNorm Extension
41322372,irbesartan 300 MG Oral Tablet [Irbesartan Hexal] Box of 98 by Novartis,OMOP2520334,RxNorm Extension
43134868,Hydrochlorothiazide 12.5 MG / telmisartan 40 MG Oral Tablet [TELMISARTAN/HYDROCHLOROTHIAZIDE ARROW] Box of 90 by Arrow,OMOP447514,RxNorm Extension
36274235,irbesartan 150 MG Oral Tablet [IRBESARTAN EG] Box of 98 by Eurogenerics,OMOP3125110,RxNorm Extension
41000441,irbesartan 150 MG Oral Tablet [Irbesartan Ct] Box of 98,OMOP2198403,RxNorm Extension
44050439,Hydrochlorothiazide 12.5 MG / valsartan 80 MG Oral Tablet [VALSARTAN MYLAN] by Mylan,OMOP1045070,RxNorm Extension
36272889,olmesartan 20 MG Oral Tablet [Olmesartan Teva] Box of 28,OMOP3123764,RxNorm Extension
43804042,valsartan 80 MG Oral Tablet [Valsartan Al],OMOP693567,RxNorm Extension
40938730,Hydrochlorothiazide 12.5 MG / Ramipril 2.5 MG Oral Tablet [Triatec Plus Kohlpharma] Box of 100,OMOP2136692,RxNorm Extension
41100883,valsartan 80 MG Oral Tablet [Diovan] Box of 56 by Novartis,OMOP2298845,RxNorm Extension
21155430,Losartan 50 MG Oral Tablet [Cozaar] by Lexon,OMOP282655,RxNorm Extension
40978490,Losartan 50 MG Oral Tablet [Losartan Stada] Box of 56 by Stada,OMOP2176452,RxNorm Extension
41098595,candesartan 32 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Candesartancilexetil Hct Plus Stada] Box of 98,OMOP2296557,RxNorm Extension
41291350,Hydrochlorothiazide 25 MG / Losartan 100 MG Oral Tablet [Losargamma] Box of 56 by Woerwag,OMOP2489312,RxNorm Extension
41012323,candesartan 4 MG Oral Tablet [Candesartan Abz] Box of 98 by AbZ-Pharma,OMOP2210285,RxNorm Extension
41272501,Hydrochlorothiazide 12.5 MG / valsartan 80 MG Oral Tablet Box of 100,OMOP2470463,RxNorm Extension
41135834,Hydrochlorothiazide 25 MG / irbesartan 300 MG Oral Tablet [Irbesartan Hormosan] Box of 28 by Hormosan,OMOP2333796,RxNorm Extension
40885976,Hydrochlorothiazide 12.5 MG / irbesartan 300 MG Oral Tablet Box of 28 by Heumann,OMOP2083938,RxNorm Extension
21027746,Losartan 50 MG Oral Tablet Box of 28 by Dr Reddys',OMOP282636,RxNorm Extension
41085541,Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet Box of 98,OMOP2283503,RxNorm Extension
40995790,telmisartan 80 MG Oral Tablet [Telmisartan Ratiopharm],OMOP2193752,RxNorm Extension
43261458,irbesartan 150 MG Oral Tablet Box of 30 by Sigma-Tau,OMOP535473,RxNorm Extension
43750093,telmisartan 20 MG Oral Tablet [Telmisartan Heumann],OMOP694521,RxNorm Extension
41157625,Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [Valsartan Hct Stada] Box of 56,OMOP2355587,RxNorm Extension
21158417,candesartan 4 MG Oral Tablet Box of 28 by A A H,OMOP351705,RxNorm Extension
44063338,irbesartan 150 MG Oral Tablet [Ran-Irbesartan] by Ranbaxy,OMOP1057969,RxNorm Extension
40851586,telmisartan 80 MG Oral Tablet [Telmisartan 1a Pharma] Box of 98 by 1 A,OMOP2049548,RxNorm Extension
40887762,candesartan 8 MG Oral Tablet [Candesartancilexetil Mylan] Box of 98 by Mylan,OMOP2085724,RxNorm Extension
40845378,Hydrochlorothiazide 12.5 MG / Losartan 100 MG Oral Tablet [Losarplus Al] Box of 56,OMOP2043340,RxNorm Extension
41260312,Hydrochlorothiazide 25 MG / irbesartan 300 MG Oral Tablet [CoAprovel] Box of 98 by Orifarm Leverkus,OMOP2458274,RxNorm Extension
43708042,Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet by Mylan,OMOP794735,RxNorm Extension
41219936,Hydrochlorothiazide 25 MG / telmisartan 80 MG Oral Tablet [Kinzalkomb] Box of 28,OMOP2417898,RxNorm Extension
40947507,Losartan 50 MG Oral Tablet [Cozaar] Box of 98 by Cc,OMOP2145469,RxNorm Extension
41229393,Hydrochlorothiazide 12.5 MG / valsartan 320 MG Oral Tablet [VALSARTAN RATIOPHARM] Box of 98 by Ratiopharm,OMOP2427355,RxNorm Extension
40854651,Hydrochlorothiazide 12.5 MG / Losartan 50 MG Oral Tablet [Losartan Hormosan] Box of 56 by Hormosan,OMOP2052613,RxNorm Extension
43606233,candesartan 4 MG Oral Tablet [Candesartan-Ct],OMOP695115,RxNorm Extension
44161972,olmesartan 10 MG Oral Tablet [Olmesartan-Ratiopharm] Box of 98,OMOP3038695,RxNorm Extension
40944731,valsartan 160 MG Oral Tablet [Valsartan Aurobindo] Box of 56 by Aurobindo,OMOP2142693,RxNorm Extension
43744019,Hydrochlorothiazide 12.5 MG / Ramipril 2.5 MG Oral Tablet [Ramipril Dura],OMOP783684,RxNorm Extension
41001169,Hydrochlorothiazide 12.5 MG / irbesartan 300 MG Oral Tablet [IRBESARTAN RATIOPHARM] Box of 28,OMOP2199131,RxNorm Extension
41291351,Hydrochlorothiazide 25 MG / Losartan 100 MG Oral Tablet [FORTZAAR] Box of 98 by Merck,OMOP2489313,RxNorm Extension
35412600,Amlodipine 10 MG / telmisartan 80 MG Oral Tablet [Twynsta] Box of 30 by Boehringer Ingelheim,OMOP1146185,RxNorm Extension
21063375,Hydrochlorothiazide 12.5 MG / telmisartan 40 MG Oral Tablet [Actelsar HCT] Box of 28,OMOP381923,RxNorm Extension
41260913,eprosartan 300 MG Oral Tablet [Teveten] Box of 28 by Emra-Med,OMOP2458875,RxNorm Extension
43282269,candesartan 16 MG Oral Tablet [Adesan],OMOP571403,RxNorm Extension
21043319,valsartan 40 MG Oral Capsule Box of 7,OMOP374338,RxNorm Extension
43195025,candesartan 8 MG Oral Tablet [CANDESARTAN CRISTERS] Box of 30,OMOP493306,RxNorm Extension
43588106,valsartan 80 MG Oral Tablet [Valsartan Hexal],OMOP693560,RxNorm Extension
41129997,candesartan 16 MG Oral Tablet [Candesartan Puren] Box of 28,OMOP2327959,RxNorm Extension
41151615,valsartan 320 MG Oral Tablet [Valsartan 1a Pharma] Box of 56,OMOP2349577,RxNorm Extension
21074757,Hydrochlorothiazide 12.5 MG / Losartan 50 MG Oral Tablet Box of 28 by Waymade,OMOP408085,RxNorm Extension
41120000,valsartan 160 MG Oral Capsule [Provas] Box of 280,OMOP2317962,RxNorm Extension
40916819,Hydrochlorothiazide 12.5 MG / Ramipril 2.5 MG Oral Tablet [Ramipril Hct Aristo] Box of 99 by Aristo,OMOP2114781,RxNorm Extension
41192553,candesartan 16 MG Oral Tablet [Candesartancilexetil Hennig] Box of 56,OMOP2390515,RxNorm Extension
36271535,Hydrochlorothiazide 25 MG / olmesartan 40 MG Oral Tablet [Co-Olmesartan Sandoz] Box of 98 by Sandoz,OMOP3122410,RxNorm Extension
41135723,Hydrochlorothiazide 12.5 MG / valsartan 80 MG Oral Tablet Box of 98 by Mylan,OMOP2333685,RxNorm Extension
41218624,Losartan 50 MG Oral Tablet [Losartan Ct] Box of 28,OMOP2416586,RxNorm Extension
21129846,sacubitril 24 MG / valsartan 26 MG Oral Tablet [Entresto] Box of 28 by Novartis,OMOP344655,RxNorm Extension
41291359,Hydrochlorothiazide 12.5 MG / Losartan 100 MG Oral Tablet [Losartan Hct] Box of 28 by AAA-Pharma,OMOP2489321,RxNorm Extension
41126196,Hydrochlorothiazide 25 MG / Losartan 100 MG Oral Tablet [LOSARTAN RATIOPHARM],OMOP2324158,RxNorm Extension
41198395,Hydrochlorothiazide 12.5 MG / Losartan 50 MG Oral Tablet [Losartan Winthrop] Box of 98 by Sanofi,OMOP2396357,RxNorm Extension
40979116,Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet Box of 56 by AbZ-Pharma,OMOP2177078,RxNorm Extension
41219880,Hydrochlorothiazide 12.5 MG / valsartan 320 MG Oral Tablet [Valsartan Hct Al],OMOP2417842,RxNorm Extension
41157654,Hydrochlorothiazide 12.5 MG / Ramipril 2.5 MG Oral Tablet [Ramipril Basics] Box of 50,OMOP2355616,RxNorm Extension
41291317,Hydrochlorothiazide 12.5 MG / Ramipril 2.5 MG Oral Tablet [Ramipril Eumann] Box of 100 by Norispharm,OMOP2489279,RxNorm Extension
43696332,candesartan 8 MG Oral Tablet [Candesartan Abz] by AbZ-Pharma,OMOP695296,RxNorm Extension
21125738,Losartan 50 MG Oral Tablet Box of 28 by Aptil,OMOP282628,RxNorm Extension
40832104,irbesartan Oral Tablet [Irbepress],OMOP2030066,RxNorm Extension
44064374,candesartan 32 MG Oral Tablet [CANDESARTAN TEVA] by TEVA,OMOP1059005,RxNorm Extension
41313124,Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [Valsartan Hct Stada],OMOP2511086,RxNorm Extension
40856448,candesartan 32 MG / Hydrochlorothiazide 25 MG Oral Tablet [Blopresid] Box of 98 by Beragena,OMOP2054410,RxNorm Extension
44115840,candesartan 32 MG Oral Tablet [Q-Candesartan] by QD,OMOP1110471,RxNorm Extension
41313131,Hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet [Cordinate],OMOP2511093,RxNorm Extension
21092739,telmisartan 80 MG Oral Tablet [Tolura] Box of 28 by Consilient,OMOP381901,RxNorm Extension
43816026,Hydrochlorothiazide 12.5 MG / irbesartan 150 MG Oral Tablet [Irbesartan Plus Hct Hennig],OMOP800743,RxNorm Extension
41126158,Hydrochlorothiazide 12.5 MG / Ramipril 5 MG Oral Tablet [Ramipril Ratiopharm] Box of 100,OMOP2324120,RxNorm Extension
43173122,candesartan 4 MG Oral Tablet [Atacand] Box of 30 by Astrazeneca,OMOP493178,RxNorm Extension
43281942,Amlodipine 10 MG / olmesartan 40 MG Oral Tablet Box of 10,OMOP543877,RxNorm Extension
40938702,Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [COTAREG] Box of 56,OMOP2136664,RxNorm Extension
19028936,telmisartan 80 MG Oral Tablet,205305,RxNorm
36276672,Amlodipine 10 MG / Hydrochlorothiazide 25 MG / olmesartan 40 MG Oral Tablet [Forzaten / HCT] Box of 28 by Menarini,OMOP3127547,RxNorm Extension
43714051,valsartan 320 MG Oral Tablet [Valsartan Puren],OMOP693630,RxNorm Extension
41324870,azilsartan 80 MG Oral Tablet [Edarbi] Box of 56 by Takeda,OMOP2522832,RxNorm Extension
41249631,Losartan 100 MG Oral Tablet [Losartan Al] Box of 98,OMOP2447593,RxNorm Extension
40856442,candesartan 16 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Candesartan Abz] Box of 98 by AbZ-Pharma,OMOP2054404,RxNorm Extension
40978496,Losartan 100 MG Oral Tablet [Losartan Biomo] Box of 98 by biomo,OMOP2176458,RxNorm Extension
40885988,Hydrochlorothiazide 25 MG / irbesartan 300 MG Oral Tablet [CoAprovel] Box of 56 by Beragena,OMOP2083950,RxNorm Extension
43822418,irbesartan 75 MG Oral Tablet [Junelic],OMOP698451,RxNorm Extension
41244956,valsartan 320 MG Oral Tablet [Valsartan Hexal] Box of 98,OMOP2442918,RxNorm Extension
21057141,Losartan 50 MG Oral Tablet Box of 28 by Dexcel-Pharma,OMOP282633,RxNorm Extension
